# SWE-Milestone benchmark image inventory — benchmark data version v1.0
# columns: short<TAB>repo_full<TAB>milestone
# base / base-offline are ordinary milestones. Future: append a digest column
# after the v1.0 push to freeze content identity (spec §5.2).
navidrome	navidrome_navidrome_v0.57.0_v0.58.0	base
navidrome	navidrome_navidrome_v0.57.0_v0.58.0	base-offline
navidrome	navidrome_navidrome_v0.57.0_v0.58.0	milestone_001
navidrome	navidrome_navidrome_v0.57.0_v0.58.0	milestone_002
navidrome	navidrome_navidrome_v0.57.0_v0.58.0	milestone_003_sub-01
navidrome	navidrome_navidrome_v0.57.0_v0.58.0	milestone_003_sub-02
navidrome	navidrome_navidrome_v0.57.0_v0.58.0	milestone_003_sub-03
navidrome	navidrome_navidrome_v0.57.0_v0.58.0	milestone_003_sub-04
navidrome	navidrome_navidrome_v0.57.0_v0.58.0	milestone_004
navidrome	navidrome_navidrome_v0.57.0_v0.58.0	milestone_006
navidrome	navidrome_navidrome_v0.57.0_v0.58.0	milestone_007
dubbo	apache_dubbo_dubbo-3.3.3_dubbo-3.3.6	base
dubbo	apache_dubbo_dubbo-3.3.3_dubbo-3.3.6	base-offline
dubbo	apache_dubbo_dubbo-3.3.3_dubbo-3.3.6	m001.1
dubbo	apache_dubbo_dubbo-3.3.3_dubbo-3.3.6	m001.2
dubbo	apache_dubbo_dubbo-3.3.3_dubbo-3.3.6	m003.1
dubbo	apache_dubbo_dubbo-3.3.3_dubbo-3.3.6	m003.2
dubbo	apache_dubbo_dubbo-3.3.3_dubbo-3.3.6	m003.3
dubbo	apache_dubbo_dubbo-3.3.3_dubbo-3.3.6	m004
dubbo	apache_dubbo_dubbo-3.3.3_dubbo-3.3.6	m006
dubbo	apache_dubbo_dubbo-3.3.3_dubbo-3.3.6	m011
dubbo	apache_dubbo_dubbo-3.3.3_dubbo-3.3.6	m016.1
dubbo	apache_dubbo_dubbo-3.3.3_dubbo-3.3.6	m017
dubbo	apache_dubbo_dubbo-3.3.3_dubbo-3.3.6	m018
dubbo	apache_dubbo_dubbo-3.3.3_dubbo-3.3.6	m019
dubbo	apache_dubbo_dubbo-3.3.3_dubbo-3.3.6	m025
ripgrep	burntsushi_ripgrep_14.1.1_15.0.0	base
ripgrep	burntsushi_ripgrep_14.1.1_15.0.0	base-offline
ripgrep	burntsushi_ripgrep_14.1.1_15.0.0	milestone_seed_119407d_1_sub-01
